# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   79       2.081314461546e+03       4.442469966161e-01       0.000000000000e+00      -1.016790738104e+01       1.235383566026e-07       5.395504538497e-04      -2.160734564957e-06 
   80       2.108524942451e+03       4.589697961262e-01       0.000000000000e+00      -1.071287121364e+01       1.228371668135e-07       5.321304182869e-04      -2.177396806132e-06 
   81       2.135988216857e+03       4.738278980548e-01       0.000000000000e+00      -1.126767877076e+01       1.221427734705e-07       5.249152827779e-04      -2.188746889955e-06 
   82       2.163703594333e+03       4.888098500633e-01       0.000000000000e+00      -1.183204388335e+01       1.214525237503e-07       5.178921995731e-04      -2.195253618195e-06 
   83       2.191667913199e+03       5.039037391515e-01       0.000000000000e+00      -1.240566850095e+01       1.207598611708e-07       5.110360252238e-04      -2.197501777297e-06 
   84       2.219877532384e+03       5.190974094138e-01       0.000000000000e+00      -1.298823442528e+01       1.200574879471e-07       5.043197832727e-04      -2.196101415825e-06 
   85       2.248334952915e+03       5.343791658294e-01       0.000000000000e+00      -1.357937679668e+01       1.193493122777e-07       4.977514685469e-04      -2.191372070659e-06 
   86       2.277043076138e+03       5.497371801161e-01       0.000000000000e+00      -1.417870630907e+01       1.186414293389e-07       4.913443959381e-04      -2.183594524127e-06 
   87       2.306003102892e+03       5.651592788232e-01       0.000000000000e+00      -1.478581707456e+01       1.179385244399e-07       4.851059082699e-04      -2.173105688732e-06 
   88       2.335214447347e+03       5.806329429308e-01       0.000000000000e+00      -1.540028654732e+01       1.172436189748e-07       4.790367973256e-04      -2.160301923505e-06 
   89       2.364674650850e+03       5.961453074495e-01       0.000000000000e+00      -1.602167544757e+01       1.165578007322e-07       4.731307083063e-04      -2.145642424852e-06 
   90       2.394379295760e+03       6.116831610188e-01       0.000000000000e+00      -1.664952768549e+01       1.158799381914e-07       4.673735277185e-04      -2.129652691876e-06 
   91       2.424321919291e+03       6.272329455074e-01       0.000000000000e+00      -1.728337028517e+01       1.152063784425e-07       4.617427546915e-04      -2.112928066195e-06 
   92       2.454493927352e+03       6.427807556114e-01       0.000000000000e+00      -1.792271330854e+01       1.145306283603e-07       4.562068557245e-04      -2.096137346249e-06 
   93       2.484887161045e+03       6.583125448719e-01       0.000000000000e+00      -1.856706395198e+01       1.138460390293e-07       4.507356599855e-04      -2.079909705120e-06 
   94       2.515502224839e+03       6.738147800380e-01       0.000000000000e+00      -1.921597142664e+01       1.131555638542e-07       4.453357210221e-04      -2.064457845049e-06 
   95       2.546341257481e+03       6.892738848368e-01       0.000000000000e+00      -1.986898871890e+01       1.124642788326e-07       4.400216778184e-04      -2.049876943213e-06 
   96       2.577405341864e+03       7.046760447251e-01       0.000000000000e+00      -2.052565913601e+01       1.117764825073e-07       4.348056457206e-04      -2.036253088942e-06 
   97       2.608694455285e+03       7.200072093224e-01       0.000000000000e+00      -2.118551642461e+01       1.110955583694e-07       4.296969631578e-04      -2.023662255984e-06 
   98       2.640207419690e+03       7.352530948433e-01       0.000000000000e+00      -2.184808488919e+01       1.104238294403e-07       4.247019315312e-04      -2.012169246394e-06 
   99       2.671941851935e+03       7.503991865303e-01       0.000000000000e+00      -2.251287951058e+01       1.097624048664e-07       4.198235482735e-04      -2.001826606049e-06 
  100       2.703894114032e+03       7.654307410866e-01       0.000000000000e+00      -2.317940606442e+01       1.091110183573e-07       4.150612330784e-04      -1.992673511795e-06 
  101       2.736059263409e+03       7.803327891089e-01       0.000000000000e+00      -2.384716123967e+01       1.084678583011e-07       4.104105472989e-04      -1.984734630215e-06 
  102       2.768431003158e+03       7.950901375198e-01       0.000000000000e+00      -2.451563275705e+01       1.078293893874e-07       4.058629065163e-04      -1.978018948029e-06 
  103       2.801001632288e+03       8.096873720010e-01       0.000000000000e+00      -2.518429948760e+01       1.071901655724e-07       4.014052862780e-04      -1.972518574116e-06 
  104       2.833763614158e+03       8.241092595088e-01       0.000000000000e+00      -2.585263550680e+01       1.065448532551e-07       3.970250047733e-04      -1.968207337392e-06 
  105       2.866714630197e+03       8.383420125079e-01       0.000000000000e+00      -2.652012262588e+01       1.058953728854e-07       3.927258450135e-04      -1.965038964032e-06 
  106       2.899853119302e+03       8.523722008477e-01       0.000000000000e+00      -2.718623978213e+01       1.052453012910e-07       3.885146278166e-04      -1.962946247717e-06 
  107       2.933176689044e+03       8.661863736763e-01       0.000000000000e+00      -2.785045941405e+01       1.045977463274e-07       3.843962636089e-04      -1.961839898129e-06 
  108       2.966682083707e+03       8.797710662696e-01       0.000000000000e+00      -2.851224762318e+01       1.039552717371e-07       3.803735980263e-04      -1.961607195093e-06 
  109       3.000365152320e+03       8.931128068605e-01       0.000000000000e+00      -2.917106433572e+01       1.033198181705e-07       3.764472538920e-04      -1.962110614230e-06 
  110       3.034220816693e+03       9.061981234684e-01       0.000000000000e+00      -2.982636346438e+01       1.026926202966e-07       3.726154695717e-04      -1.963186424132e-06 
  111       3.068243039453e+03       9.190135507283e-01       0.000000000000e+00      -3.047759306999e+01       1.020741199284e-07       3.688739337060e-04      -1.964643255048e-06 
  112       3.102424792079e+03       9.315456367200e-01       0.000000000000e+00      -3.112419552336e+01       1.014638750890e-07       3.652156163210e-04      -1.966260639085e-06 
  113       3.136758022935e+03       9.437809497971e-01       0.000000000000e+00      -3.176560766692e+01       1.008604649451e-07       3.616305963146e-04      -1.967787521931e-06 
  114       3.171233625309e+03       9.557060854170e-01       0.000000000000e+00      -3.240126097648e+01       1.002613905331e-07       3.581058853221e-04      -1.968940746088e-06 
  115       3.205841405446e+03       9.673076729691e-01       0.000000000000e+00      -3.303058172297e+01       9.966297120475e-08       3.546252479573e-04      -1.969403505622e-06 
  116       3.240571477343e+03       9.785727488697e-01       0.000000000000e+00      -3.365299824443e+01       9.906170076369e-08       3.511739331893e-04      -1.968893722575e-06 
  117       3.275418707863e+03       9.894899127033e-01       0.000000000000e+00      -3.426796341915e+01       9.845893462077e-08       3.477542528272e-04      -1.967386829833e-06 
  118       3.310378754556e+03       1.000048325125e+00       0.000000000000e+00      -3.487493524126e+01       9.785712924393e-08       3.443724929205e-04      -1.964930567739e-06 
  119       3.345446668112e+03       1.010237364130e+00       0.000000000000e+00      -3.547337017713e+01       9.725843503341e-08       3.410341861611e-04      -1.961578803232e-06 
  120       3.380616873016e+03       1.020046635122e+00       0.000000000000e+00      -3.606272338995e+01       9.666465333845e-08       3.377440488547e-04      -1.957391761336e-06 
  121       3.415883148197e+03       1.029465980984e+00       0.000000000000e+00      -3.664244896434e+01       9.607719151344e-08       3.345059165068e-04      -1.952436260023e-06 
  122       3.451238607675e+03       1.038485492139e+00       0.000000000000e+00      -3.721200013098e+01       9.549701597969e-08       3.313226780238e-04      -1.946785948453e-06 
  123       3.486675681215e+03       1.047095516625e+00       0.000000000000e+00      -3.777082949115e+01       9.492460325894e-08       3.281962085305e-04      -1.940521548567e-06 
  124       3.522186094978e+03       1.055286670156e+00       0.000000000000e+00      -3.831838924138e+01       9.435988894466e-08       3.251273008019e-04      -1.933731100062e-06 
  125       3.557760852166e+03       1.063049846195e+00       0.000000000000e+00      -3.885413139804e+01       9.380221457738e-08       3.221155953107e-04      -1.926510208731e-06 
  126       3.593390213678e+03       1.070376226020e+00       0.000000000000e+00      -3.937750802193e+01       9.325027238998e-08       3.191595088910e-04      -1.918962298171e-06 
  127       3.629063678755e+03       1.077257288791e+00       0.000000000000e+00      -3.988797144286e+01       9.270204788917e-08       3.162561620160e-04      -1.911198864862e-06 
  128       3.664769965636e+03       1.083684821616e+00       0.000000000000e+00      -4.038497448430e+01       9.215476023935e-08       3.134013046917e-04      -1.903339736612e-06 
  129       3.700498105564e+03       1.089651247669e+00       0.000000000000e+00      -4.086797672276e+01       9.160584281915e-08       3.105908849879e-04      -1.895487966578e-06 
  130       3.736240901611e+03       1.095150629841e+00       0.000000000000e+00      -4.133646356530e+01       9.105626690714e-08       3.078262112725e-04      -1.887649257218e-06 
  131       3.771991814490e+03       1.100177796727e+00       0.000000000000e+00      -4.178992969905e+01       9.050782453222e-08       3.051094952241e-04      -1.879799794079e-06 
  132       3.807743871941e+03       1.104728046673e+00       0.000000000000e+00      -4.222787350912e+01       8.996212639212e-08       3.024422390054e-04      -1.871910175233e-06 
  133       3.843489657339e+03       1.108797160115e+00       0.000000000000e+00      -4.264979734643e+01       8.942057829806e-08       2.998251906159e-04      -1.863945125179e-06 
  134       3.879221298320e+03       1.112381411928e+00       0.000000000000e+00      -4.305520779544e+01       8.888435664622e-08       2.972582984055e-04      -1.855863203699e-06 
  135       3.914930455393e+03       1.115477583767e+00       0.000000000000e+00      -4.344361594198e+01       8.835438290070e-08       2.947406647481e-04      -1.847616509677e-06 
  136       3.950608310557e+03       1.118082976407e+00       0.000000000000e+00      -4.381453764099e+01       8.783129707275e-08       2.922704988765e-04      -1.839150379874e-06 
  137       3.986245555921e+03       1.120195422094e+00       0.000000000000e+00      -4.416749378435e+01       8.731543018108e-08       2.898450688766e-04      -1.830403082662e-06 
  138       4.021832382318e+03       1.121813296882e+00       0.000000000000e+00      -4.450201056861e+01       8.680677567813e-08       2.874606528427e-04      -1.821305506718e-06 
  139       4.057358467925e+03       1.122935532979e+00       0.000000000000e+00      -4.481761976283e+01       8.630495982690e-08       2.851124891932e-04      -1.811780844677e-06 
  140       4.092812966877e+03       1.123561631091e+00       0.000000000000e+00      -4.511385897630e+01       8.580921101336e-08       2.827947261467e-04      -1.801744271740e-06 
  141       4.128184497885e+03       1.123691672764e+00       0.000000000000e+00      -4.539027192638e+01       8.531832797902e-08       2.805003703582e-04      -1.791102619245e-06 
  142       4.163461132854e+03       1.123326332729e+00       0.000000000000e+00      -4.564640870626e+01       8.483064695862e-08       2.782212347161e-04      -1.779754043195e-06 
  143       4.198630385500e+03       1.122466891244e+00       0.000000000000e+00      -4.588182605273e+01       8.434400770765e-08       2.759478852995e-04      -1.767587687745e-06 
  144       4.233680169788e+03       1.121115367378e+00       0.000000000000e+00      -4.609609248167e+01       8.385646543913e-08       2.736721198205e-04      -1.754509948203e-06 
  145       4.268601805771e+03       1.119274907613e+00       0.000000000000e+00      -4.628880369969e+01       8.336866284978e-08       2.713949333909e-04      -1.740528387555e-06 
  146       4.303387289827e+03       1.116949459194e+00       0.000000000000e+00      -4.645956922802e+01       8.288185590579e-08       2.691196269249e-04      -1.725679565551e-06 
  147       4.338028345691e+03       1.114143665555e+00       0.000000000000e+00      -4.660800796432e+01       8.239719522950e-08       2.668493663802e-04      -1.710003631998e-06 
  148       4.372516418642e+03       1.110862879357e+00       0.000000000000e+00      -4.673374847849e+01       8.191571355190e-08       2.645871703868e-04      -1.693544436442e-06 
  149       4.406842669699e+03       1.107113175524e+00       0.000000000000e+00      -4.683642930844e+01       8.143831269774e-08       2.623358976412e-04      -1.676349639156e-06 
  150       4.440997969807e+03       1.102901364286e+00       0.000000000000e+00      -4.691569925579e+01       8.096575009680e-08       2.600982340647e-04      -1.658470823435e-06 
  151       4.474972894029e+03       1.098235004213e+00       0.000000000000e+00      -4.697121768168e+01       8.049862481460e-08       2.578766797268e-04      -1.639963609198e-06 
  152       4.508757715739e+03       1.093122415258e+00       0.000000000000e+00      -4.700265480252e+01       8.003736309610e-08       2.556735355330e-04      -1.620887767896e-06 
  153       4.542342400809e+03       1.087572691791e+00       0.000000000000e+00      -4.700969198571e+01       7.958220341576e-08       2.534908896780e-04      -1.601307338734e-06 
  154       4.575716601803e+03       1.081595715640e+00       0.000000000000e+00      -4.699202204546e+01       7.913318102736e-08       2.513306038627e-04      -1.581290746193e-06 
  155       4.608869652166e+03       1.075202169131e+00       0.000000000000e+00      -4.694934953849e+01       7.869011200709e-08       2.491942992766e-04      -1.560910918863e-06 
  156       4.641790560415e+03       1.068403548122e+00       0.000000000000e+00      -4.688139105982e+01       7.825257678329e-08       2.470833423449e-04      -1.540245409585e-06 
  157       4.674468004330e+03       1.061212175047e+00       0.000000000000e+00      -4.678787553854e+01       7.781990314625e-08       2.449988302399e-04      -1.519376516896e-06 
  158       4.706890325144e+03       1.053641211950e+00       0.000000000000e+00      -4.666854453352e+01       7.739114873153e-08       2.429415761578e-04      -1.498391407787e-06 
  159       4.739045521735e+03       1.045704673526e+00       0.000000000000e+00      -4.652315252922e+01       7.696508297022e-08       2.409120943595e-04      -1.477382241762e-06 
  160       4.770921244815e+03       1.037417440159e+00       0.000000000000e+00      -4.635146723141e+01       7.654016849959e-08       2.389105849764e-04      -1.456446296213e-06 
  161       4.802505617797e+03       1.028794943757e+00       0.000000000000e+00      -4.615326977967e+01       7.611504891439e-08       2.369372134015e-04      -1.435668773924e-06 
  162       4.833789793156e+03       1.019852166667e+00       0.000000000000e+00      -4.592835478491e+01       7.569015111257e-08       2.349930231676e-04      -1.415068383809e-06 
  163       4.864765612084e+03       1.010604578738e+00       0.000000000000e+00      -4.567653086042e+01       7.526632816562e-08       2.330791145794e-04      -1.394644787426e-06 
  164       4.895424796158e+03       1.001068468003e+00       0.000000000000e+00      -4.539762099848e+01       7.484437060632e-08       2.311963486957e-04      -1.374395171231e-06 
  165       4.925758945333e+03       9.912609522125e-01       0.000000000000e+00      -4.509146286573e+01       7.442499973634e-08       2.293453351291e-04      -1.354314133512e-06 
  166       4.955759535936e+03       9.811999903678e-01       0.000000000000e+00      -4.475790909853e+01       7.400886071041e-08       2.275264196609e-04      -1.334393569673e-06 
  167       4.985417918660e+03       9.709043942539e-01       0.000000000000e+00      -4.439682759837e+01       7.359651539435e-08       2.257396716710e-04      -1.314622555863e-06 
  168       5.014725316562e+03       9.603938399722e-01       0.000000000000e+00      -4.400810182723e+01       7.318843499404e-08       2.239848713828e-04      -1.294987230958e-06 
  169       5.043672823051e+03       9.496888794744e-01       0.000000000000e+00      -4.359163110295e+01       7.278499245262e-08       2.222614969234e-04      -1.275470676879e-06 
  170       5.072251399886e+03       9.388109520948e-01       0.000000000000e+00      -4.314733089459e+01       7.238645461308e-08       2.205687111990e-04      -1.256052797268e-06 
  171       5.100451875169e+03       9.277823960839e-01       0.000000000000e+00      -4.267513311783e+01       7.199297414330e-08       2.189053485852e-04      -1.236710194508e-06 
  172       5.128264941342e+03       9.166264601416e-01       0.000000000000e+00      -4.217498643036e+01       7.160458122094e-08       2.172699014323e-04      -1.217416045085e-06 
  173       5.155681153175e+03       9.053673149500e-01       0.000000000000e+00      -4.164685652719e+01       7.122117497517e-08       2.156605063865e-04      -1.198139973304e-06 
  174       5.182690925767e+03       8.940300647065e-01       0.000000000000e+00      -4.109072643609e+01       7.084251468257e-08       2.140749305252e-04      -1.178847923348e-06 
  175       5.209284532533e+03       8.826407586574e-01       0.000000000000e+00      -4.050659681296e+01       7.046821071423e-08       2.125105573080e-04      -1.159502029688e-06 
  176       5.235452103207e+03       8.712264026302e-01       0.000000000000e+00      -3.989448623714e+01       7.009771523138e-08       2.109643723431e-04      -1.140060485832e-06 
